BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
105.66,40.1711,39.5182,39.3763,38.7245,38.7226,38.7321,38.7247,38.9364,38.8667,38.7122,40.6163,0.070242,0.445199
105.64,40.1947,39.4991,39.3621,38.6945,38.6926,38.7021,38.6946,38.9085,38.8383,38.682,40.6175,0.0666911,0.422817
105.62,40.3988,39.4802,39.3485,38.6644,38.6625,38.6721,38.6646,38.8807,38.81,38.6519,40.6197,0.0347576,0.220919
105.6,40.9483,39.4615,39.3359,38.6344,38.6324,38.6421,38.6346,38.8528,38.7818,38.6218,40.6232,-0.0508066,-0.325116
105.58,41.8276,39.4433,39.3247,38.6043,38.6024,38.6121,38.6045,38.825,38.7535,38.5916,40.6285,-0.185405,-1.19909
105.56,41.7962,39.4252,39.3142,38.5742,38.5723,38.5821,38.5745,38.7972,38.7253,38.5615,40.6347,-0.179664,-1.16153
105.54,40.548,39.4073,39.3059,38.5442,38.5422,38.5521,38.5444,38.7695,38.6971,38.5313,40.6435,0.0150025,0.0955321
105.52,41.2938,39.3899,39.2985,38.5141,38.5121,38.5221,38.5144,38.7418,38.669,38.5012,40.6537,-0.0996167,-0.640139
105.5,41.8747,39.3726,39.2929,38.484,38.4821,38.4921,38.4844,38.7141,38.6408,38.471,40.6659,-0.186808,-1.20884
105.48,40.5715,39.3558,39.2893,38.454,38.452,38.4621,38.4543,38.6865,38.6128,38.4409,40.6807,0.0171452,0.109208
105.46,40.2496,39.3393,39.2868,38.4239,38.4219,38.4321,38.4243,38.6589,38.5847,38.4107,40.6969,0.0705121,0.447347
105.44,40.6579,39.3231,39.2879,38.3938,38.3918,38.4021,38.3942,38.6314,38.5567,38.3806,40.7172,0.00930051,0.0593033
105.42,40.4695,39.3074,39.2903,38.3637,38.3618,38.3721,38.3642,38.6038,38.5287,38.3504,40.7393,0.0424063,0.26977
105.4,40.4616,39.292,39.2958,38.3337,38.3317,38.3421,38.3341,38.5764,38.5008,38.3202,40.7648,0.0476666,0.303205
105.38,40.7599,39.2772,39.3042,38.3036,38.3016,38.3121,38.3041,38.5489,38.4729,38.2901,40.794,0.00534627,0.0341325
105.36,40.8384,39.2627,39.3146,38.2735,38.2715,38.2821,38.2741,38.5215,38.4451,38.2599,40.8257,-0.00198992,-0.0127166
105.34,40.3753,39.2488,39.3303,38.2434,38.2414,38.2521,38.244,38.4942,38.4173,38.2297,40.8632,0.076783,0.487891
105.32,41.6627,39.2354,39.3479,38.2133,38.2113,38.2221,38.214,38.4669,38.3895,38.1996,40.9033,-0.117644,-0.759356
105.3,39.7315,39.2224,39.3708,38.1832,38.1812,38.1921,38.1839,38.4396,38.3618,38.1694,40.9493,0.193198,1.21778
105.28,41.4194,39.2104,39.3978,38.1531,38.1511,38.1621,38.1539,38.4124,38.3341,38.1392,41.0002,-0.0651282,-0.419151
105.26,40.2339,39.1987,39.4284,38.123,38.121,38.1322,38.1238,38.3852,38.3065,38.1091,41.0554,0.12951,0.821486
105.24,41.859,39.188,39.4664,38.0929,38.0909,38.1022,38.0938,38.3581,38.2789,38.0789,41.119,-0.114383,-0.740043
105.22,40.8777,39.178,39.5074,38.0628,38.0608,38.0722,38.0637,38.331,38.2513,38.0487,41.1863,0.0482721,0.308631
105.2,41.2781,39.1687,39.557,38.0327,38.0307,38.0422,38.0337,38.304,38.2239,38.0185,41.2631,-0.00232841,-0.0149596
105.18,41.6078,39.1607,39.612,38.0026,38.0006,38.0122,38.0036,38.277,38.1964,37.9884,41.3467,-0.0404822,-0.261127
105.16,41.3801,39.1532,39.6732,37.9726,37.9705,37.9822,37.9736,38.2501,38.1691,37.9582,41.4371,0.00886677,0.0570376
105.14,40.2575,39.1473,39.7447,37.9425,37.9404,37.9522,37.9436,38.2232,38.1417,37.928,41.5395,0.202055,1.28202
